"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.", "O login da conta estava incorreto ou sua conta foi desativada temporariamente. Aguarde e tente novamente mais tarde."
"Newsletter Subscriptions","Newsletter"
"Newsletter","Newsletter"
"Enter your CPF", "Digite seu CPF"
"Enter your phone number", "Digite seu telefone"
"Sign Up for Newsletter", "Aceito receber ofertas e notícias por e-mail"
"Accept Privacy Policy and Terms of Use","Aceite Políticas de Privacidade e Termos de Uso"
"Wish List","Favoritos"
"Wish List Sharing","Compartilhar Favoritos"
"My Wish List","Meus Favoritos"
"%1's Wish List","Lista de Favoritos de %1"
"Seja Bem-Vindo", "Bem vindo(a)"
"Welcome", "Bem vindo(a)"
"Welcome, %1!","Bem vindo(a), %1!"
"Manage Addresses","Ver Tudo"
"Default Shipping Address","Endereço de Entrega Selecionado"
"Default Billing Address","Endereço de Cobrança Selecionado"
"First Name is not valid!", "Nome inválido!"
"Last Name is not valid!", "Sobrenome inválido!"
"First Name is not valid! Last Name is not valid!", "Nome e Sobrenome inválidos!"
"General Subscription","Aceito receber ofertas e notícias por e-mail"
"Newsletter Subscription","Newsletter"
"Edit Account Information","Meus Dados"
"Change Email and Password","Alterar E-mail e Senha"
"Save Data", "Salvar Dados"
"The password needs at least 8 characters. Create a new password and try again.", "A senha precisa ter ao menos 8 caracteres."
"Please fill in the fields below to change your access email.", "Por favor, preencha os campos abaixo para alterar seu e-mail de acesso."
"Please fill in the fields below to change your access password.", "Por favor, preencha os campos abaixo para alterar sua senha de acesso."
"Please fill in the fields below to change your email and password.", "Por favor, preencha os campos abaixo para alterar seu e-mail e senha de acesso."
"Invalid Form Key. Please refresh the page.", "Campo inválido. Por favor, atualize a página."
"See Details", "Ver Detalhes"
"My Recent Reviews","Comentários Recentes"
"Data List", "Data"
"commentary","Comentário"
"Status","Status"
"Change Billing Address","Editar Endereço"
"Change Shipping Address","Editar Endereço"
"Additional Address Entries","Endereços Adicionais"
"Add New Address","Criar novo endereço"
"Are you sure you want to delete this address?","Deseja realmente excluir esse endereço?"
"Your Review","Meu Comentário"
"Submitted on %1","Realizado em %1"
"Review Details","Meus Comentários"
"You have submitted no reviews.","Você ainda não fez comentários sobre produtos."
"Buy products","Comprar Produtos"
"Click the button below","Clique no botão abaixo"
"You have placed no orders.","Você ainda não possui pedidos. Que tal fazer o primeiro?"
"Browse Products","Navegue Pelos Produtos"
"Browse our website and find products that may be of interest to you.","Navegue pelo nosso site e encontre produtos que podem ser do seu interesse."
"You have no items in your wish list.","Você ainda não possui itens adicionados aos favoritos."
"Order Details","Detalhes do Pedido"
"Order Number","Pedido n°"
"Held In","Realizado em:"
"Value of Products","Valor dos Produtos:"
"Discount Coupon","Cupom de Desconto:"
"Freight","Frete"
"Total Order","Total do Pedido:"
"Check / Money Order","Dinheiro"
"Shipping Add", "Entrega"
"Enter your review description", "Digite a descrição da sua avaliação"
"Review Title", "Titulo da Avaliação*"
"Enter review title", "Digite o titulo da avaliação"
"Make a review of this product", "Faça uma avaliação"
"description review", "Descrição da Avaliação"
"Add to Wish List","Adicionar aos Favoritos"
"Be the first to review this product","Avaliar este Produto"
"Add to Cart","Adicionar"
"Calculate shipping and term", "Calcular frete e prazo"
"type your Zipcode", "Digite seu CEP"
"Calculate", "Calcular"
"I do not know my zipcode", "Não sei meu CEP"
"See Payment Methods", "Ver Formas de Pagamento"
"More ads for this product", "Mais anuncios deste produto"
"See More Sellers", "Ver Mais Vendedores"
"Sold and Shipped by", "Vendido e Entregue por"
"Please select a region, state or province.","Estado"
"Enter your city", "Cidade"
"I forgot my zip code", "Não sei meu CEP"
"House Number", "Número da Residência"
"Without number", "Não possui número"
"District", "Bairro"
"Complement", "Complemento"
"Brand","Marca"
"Color","Cor"
"Thank you for your purchase!","Pedido realizado com Sucesso!"
"Ex. Block, Apartment, etc...", "Ex. Bloco, Apartamento, etc..."
"Product Unavailable","Produto indisponível"
"Tell me when you arrive","Avise-me quando chegar"
"Ex. Block, Apartment, etc...", "Ex. Bloco, Apartamento, etc..."
"Shopping Cart","Meu Carrinho"
"Order Summary","Resumo do Pedido"
"Checkout","Finalizar Pedido"
"Keep Buying","Continuar Comprando"
"Calculate shipping and term","Calcular frete e prazo"
"Type your CEP","Digite seu CEP"
"Discount code","Cupom de desconto"
"Clear Cart","Limpar Carrinho"
"Update Cart","Atualizar Carrinho"
"Brand","Marca"
"Color","Cor"
"Thank you for your purchase!","Pedido realizado com Sucesso!"
"Details","Descrição do Produto"
"More Information","Ficha Técnica"
"Reviews %1","Avaliação do Produto"
"Address and Delivery","Endereço e Entrega"
"Summary and Payment","Resumo e Pagamento"
"Product Unavailable", "Produto Indisponível"
"Tell me when you arrive", "Avise-me quando chegar"
"Proceed to Checkout","Finalizar Pedido"
"Cart Subtotal","Total (Sem Frete)"
"View and Edit Cart","Ver Detalhes do Pedido"
"Welcome to","Bem vindo(a)"
"In between","Entre"
"or","ou"
"Register in","Cadastre-se"
"Notify me when this product is in stock","Avise-me quando chegar"
"Please leave your details and we'll let you know as soon as this product is available :)","Por favor, deixe seus dados e te avisaremos assim que este produto estiver disponível :)"
"Best selling products","Os produtos mais vendidos"
"Address *","Endereço *"
"House Number *","Número da Residência *"
"Complement","Complemento"
"Neighborhood *","Bairro *"
"Go to payment","Ir para pagamento"
"%1 has been removed from your Wish List.","%1 removido dos favoritos."
"I do not know my CEP","Não sei meu CEP"
"Place Order","Concluir Compra"
"Shipping Methods","Método de Entrega"
